   ------------------------------------------------------------------
  | Welcome to ROOT 6.26/08                        https://root.cern |
  | (c) 1995-2021, The ROOT Team; conception: R. Brun, F. Rademakers |
  | Built for linuxx8664gcc on Oct 18 2022, 08:30:35                 |
  | From tags/v6-26-08@v6-26-08                                      |
  | With g++ (GCC) 11.3.0                                            |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q'       |
   ------------------------------------------------------------------


Processing PixelCalib.C...
here we go
Running on BLayer
Selected test files with small samples of input are used
File ../../test/SAMPLE_S000087719.root opened.
Mapping file opened ok
File ../../test/SAMPLE_S000087717.root opened.
Mapping file opened ok

INFO =>> tot calib analysis...
File ../../test/SAMPLE_S000087710.root opened.
Mapping file opened ok
L0_B04_S2_A7_M1A
I13 4283 57 145 5348 4278 64 156 5511 4260 63 192 5063 2.01447e+09 -195.357 2.22189e+12 1.2473e+08 -73.6847 1.39499e+11 0.278517 1.37219e-05
I14 4326 58 147 5189 4330 57 159 5349 4314 63 203 4966 0 -28284.3 0 1.05154e+10 -178.389 1.16571e+13 0.241762 2.02566e-05
I15 4295 55 145 5141 4296 53 155 5277 4283 61 186 4922 1.14838e+10 -217.394 1.28086e+13 0 -4.21604e+07 0 0.233285 1.81344e-05
L0_B04_S2_A7_M3A
I0 4272 90 148 5305 4270 59 156 5457 4264 53 189 5345 0 -28284.3 0 2.68024e+09 382.241 3.05341e+12 0 0
I1 4281 58 147 5363 4279 58 158 5755 4272 72 189 5392 0 -28284.3 0 5.18917e+08 406.78 5.91505e+11 0.258109 1.69236e-05
I2 4298 59 151 5315 4297 60 162 5523 4287 69 206 5228 1.11069e+12 5.41606 1.23615e+15 2.58492e+08 207.501 2.91264e+11 0.283166 1.44258e-05
I3 4314 61 155 5423 4321 63 167 5604 4324 63 214 5470 0 -28284.3 0 552.341 31.1084 597309 0.279418 1.4098e-05
I4 4308 59 146 5265 4305 58 160 5450 4312 62 206 5293 968.587 -218.685 1.04792e+06 946.827 -57.808 1.03009e+06 0.288969 1.5223e-05
I5 4301 53 136 5048 4300 53 148 5292 4299 55 195 5094 1526.39 -517.249 1.6494e+06 900.175 -432.364 964353 0.244359 1.53671e-05
I6 4282 61 149 5549 4282 65 164 5864 4260 62 199 5578 1.55721e+09 344.653 1.77614e+12 578.876 155.691 632703 0.286837 1.31333e-05
I7 4276 56 144 5152 4282 63 155 5373 4267 63 202 5196 4.1464e+12 -20.978 4.63737e+15 5.04505e+08 142.353 5.68542e+11 0.254073 1.49818e-05
I8 4301 56 144 5133 4307 58 156 5336 4297 62 202 4997 378.67 -740.05 387647 0 -4.26013e+07 0 0.22807 1.82871e-05
I9 4293 58 146 5450 4283 62 158 5641 4273 56 190 5269 1.1941e+09 248.351 1.35054e+12 0 -3.67235e+07 0 0.291364 1.38468e-05
I10 4317 58 146 5127 4315 57 156 5208 4311 63 195 5115 2.7642e+07 -49.9623 3.08688e+10 4.13747e-41 779.401 -0.615304 0.267878 1.67572e-05
I11 4286 57 145 5213 4290 53 156 5460 4278 67 197 5100 2090.64 -98.8495 2.3023e+06 2353.07 37.7727 2.60041e+06 0.287052 1.38222e-05
I12 4294 57 145 5234 4285 58 156 5430 4284 65 192 5243 2677.61 -86.3054 2.95129e+06 1593.96 106.868 1.76977e+06 0.278142 1.52695e-05
I13 4290 58 147 5146 4288 59 159 5383 4286 64 199 5088 4.35665e+09 -89.6912 4.87038e+12 3.63464e+09 43.9095 4.11393e+12 0.246421 1.79163e-05
I14 4272 56 139 5122 4266 65 150 5273 4251 61 182 5081 0 -28284.3 0 7.36468e+09 -41.2777 8.28741e+12 0.251585 1.82847e-05
I15 4294 54 137 4924 4299 57 151 5037 4300 59 190 4900 6.21965e+08 -487.741 6.81673e+11 0 -4.08662e+07 0 0.206203 2.13076e-05
L0_B08_S1_A6_M1A
I0 3503 50 124 3988 3501 53 135 4091 3486 54 163 3936 0 -28284.3 0 8.98499e+08 185.169 1.00703e+12 0 0
I1 3488 49 131 4178 3490 52 144 4360 3475 55 172 4153 0 -28284.3 0 6.94969e+10 703.943 8.03066e+13 0.0415263 3.16946e-05
I2 3474 52 140 4044 3476 57 154 4155 3482 64 193 4034 6.68397e+08 228.604 7.56452e+11 1.37373e+11 472.467 1.56955e+14 0.180211 2.39186e-05
I3 3503 47 128 4053 3501 49 143 4196 3501 57 181 4145 0 -28284.3 0 9.77647e+08 232.054 1.09008e+12 0.178429 2.29408e-05
I4 3498 51 135 4223 3498 66 148 4442 3486 67 184 4236 4.97292e+09 441.387 5.67479e+12 186137 735.545 2.14853e+08 0.28117 1.44135e-05
I5 3500 50 130 4198 3494 50 143 4372 3479 51 170 4114 5550.01 331.438 6.26531e+06 1.07433e+09 632.398 1.23909e+12 0.241552 1.65183e-05
I6 3465 50 134 4177 3463 55 148 4331 3472 60 181 4243 6.82372e+09 416.188 7.74246e+12 9.25131e+08 741.755 1.0693e+12 0.275215 1.53315e-05
I7 3506 51 136 4112 3509 56 147 4247 3499 64 186 4109 1.45705e+08 225.323 1.65204e+11 2.91035e+08 409.988 3.3136e+11 0.205457 2.00398e-05
I8 3482 55 133 4090 3479 51 142 4228 3468 59 175 4022 235.768 -698.385 233840 0 -4.12196e+07 0 0.211837 1.92171e-05
I9 3499 50 139 4115 3501 54 150 4273 3497 53 184 3941 331.666 -388.466 340278 0 -4.32375e+07 0 0.249537 1.59786e-05
I10 3485 53 135 4170 3480 52 147 4304 3465 57 176 4073 5.55658e+09 487.457 6.35875e+12 4.52465e-41 58.1223 0.60339 0.267532 1.6716e-05
I11 3506 53 140 4306 3505 57 154 4491 3510 55 187 4230 1.30883e+13 807.342 1.52786e+16 9.38278e+08 1043.75 1.10945e+12 0.293049 1.30004e-05
I12 3509 54 144 4181 3514 58 157 4372 3510 57 197 4169 3.24523e+09 450.332 3.69161e+12 1.53853e+08 701.775 1.76952e+11 0.297797 1.35521e-05
I13 3465 48 129 4148 3466 51 142 4294 3444 50 167 4081 4.73898e+10 498.944 5.43909e+13 9.19987e+09 750.565 1.06945e+13 0.257348 1.55628e-05
I14 3497 53 134 4171 3495 54 147 4370 3488 61 183 4111 0 -28284.3 0 1.63326e+10 867.563 1.91232e+13 0.282197 1.71827e-05
I15 3529 51 134 4116 3533 51 145 4250 3525 62 187 4087 1.04069e+10 383.833 1.18969e+13 0 -4.27854e+07 0 0.227021 1.74432e-05
L0_B08_S1_A6_M2A
I0 4266 52 135 5070 4261 53 146 5291 4257 52 184 5066 0 -28284.3 0 6.88969e+08 -217.068 7.63009e+11 0 0
I1 4266 53 140 4893 4270 56 154 5119 4268 57 209 4947 0 -28284.3 0 3.08018e+09 -340.532 3.39804e+12 0.209103 2.39158e-05
I2 4261 52 140 5056 4263 56 154 5240 4258 55 204 5103 1.90899e+09 -357.317 2.09241e+12 1.00989e+09 -187.698 1.11539e+12 0.207788 2.49416e-05
I3 4281 52 145 5180 4280 57 163 5431 4304 62 216 5298 0 -28284.3 0 616.909 -263.091 658047 0.22907 2.17558e-05
I4 4273 55 148 5300 4267 56 163 5446 4271 65 197 5379 914.209 -263.104 987381 733.797 -75.4651 798164 0.294463 1.91772e-05
I5 4298 50 138 5106 4295 52 152 5284 4298 61 185 5197 1512.25 -669.14 1.60511e+06 847.807 -556.893 898767 0.167265 2.71646e-05
I6 4288 49 134 5013 4286 54 148 5198 4280 54 182 5154 7.13597e+09 -554.304 7.7993e+12 1.49069e+09 -386.342 1.64561e+12 0.204201 2.30173e-05
I7 4306 52 139 5023 4312 57 151 5174 4321 94 202 5102 -1.38622e+12 -586.671 -1.50644e+15 1.38003e+10 -421.599 1.50987e+13 0.207265 2.43107e-05
I8 4302 55 142 5107 4304 55 153 5257 4315 64 194 5035 269.645 -1043.71 263579 0 -4.33517e+07 0 0.239777 2.02685e-05
I9 4314 57 146 5340 4315 59 161 5570 4326 56 197 5186 1380.44 -221.837 1.50037e+06 0 -4.49049e+07 0 0.284878 1.61539e-05
I10 4285 54 148 5261 4280 57 162 5409 4288 64 200 5234 28885.5 -34.6032 3.20785e+07 0 -4.03754e+07 0 0.30319 1.5406e-05
I11 4302 54 140 5185 4307 57 155 5346 4319 59 203 5294 2439.6 -209.603 2.67656e+06 1361.73 -72.0215 1.50109e+06 0.273942 1.75031e-05
I12 4291 58 145 5289 4288 59 158 5472 4289 56 194 5234 4.33063e+09 -97.181 4.81395e+12 464268 74.7099 5.18888e+08 0.273203 1.93534e-05
I13 4317 56 142 5215 4312 59 155 5383 4315 52 189 5232 3.07377e+09 -225.602 3.41738e+12 1.09919e+09 -63.5592 1.23745e+12 0.239581 2.16119e-05
I14 4264 53 138 5167 4267 56 155 5367 4232 67 182 5193 0 -28284.3 0 1.24876e+09 -124.596 1.39809e+12 0.271182 1.71471e-05
I15 4278 53 134 4965 4278 50 146 5133 4280 49 203 4925 1.79528e+08 -522.379 1.97053e+11 0 -4.12488e+07 0 0.195678 2.51745e-05
L0_B08_S1_A6_M3A
I0 4271 58 143 5154 4267 58 155 5297 4270 63 192 5145 0 -28284.3 0 3.23154e+11 135.508 3.64683e+14 0 0
I1 4278 54 139 5100 4274 57 154 5289 4258 65 188 5104 0 -28284.3 0 5.9843e+08 118.462 6.71484e+11 0.209995 2.31661e-05
I2 4270 58 152 5249 4271 57 167 5432 4282 59 205 5347 2.38221e+10 119.654 2.67565e+13 -3.79563e+07 299.876 -4.31142e+10 0.304078 1.53262e-05
I3 4307 58 150 5275 4310 64 164 5514 4309 59 207 5392 0 -28284.3 0 615.226 -97.7295 659792 0.250041 1.93109e-05
